frame,timecode,name,X,Y,Z,min,max
31,00:00:01.033,trunk.002,176.716,-0.900,-15.320,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
31,00:00:01.033,trunk.003,178.671,-0.718,-2.554,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
31,00:00:01.033,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
32,00:00:01.067,trunk.002,176.680,-0.756,-12.808,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
32,00:00:01.067,trunk.003,178.690,-0.619,-2.207,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
32,00:00:01.067,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
33,00:00:01.100,trunk.002,176.650,-0.607,-10.264,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
33,00:00:01.100,trunk.003,178.706,-0.519,-1.850,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
33,00:00:01.100,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
34,00:00:01.133,trunk.002,176.626,-0.456,-7.694,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
34,00:00:01.133,trunk.003,178.720,-0.417,-1.486,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
34,00:00:01.133,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
35,00:00:01.167,trunk.002,176.609,-0.303,-5.104,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
35,00:00:01.167,trunk.003,178.730,-0.313,-1.116,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
35,00:00:01.167,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
36,00:00:01.200,trunk.002,176.599,-0.149,-2.501,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
36,00:00:01.200,trunk.003,178.738,-0.208,-0.742,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
36,00:00:01.200,rear_R.IK,0.000,-0.000,180.000,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
37,00:00:01.233,trunk.002,176.595,0.007,0.109,"(0.0, -0.0, 180.00000500895632)","(0.0, -0.0, 180.00000500895632)"
